,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
31,ARA0133,69040,69040,APE,NEUVILLE SUR SAONE,RHONE,AUVERGNE-RHONE-ALPES,4 AVENUE CARNOT,69250,NEUVILLE SUR SAONE,1659,90,93,341,0.761,2434,0.949,45.879934,4.836124,4 Avenue Carnot 69250 Neuville-sur-Saône,0.87,housenumber,69143_0170_00004,4,Avenue Carnot,,69250,Neuville-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69143,,,
32,ARA0134,69027,69027,APE,LYON CROIX-ROUSSE,RHONE,AUVERGNE-RHONE-ALPES,49 RUE DE CUIRE,69004,LYON,8907,124,250,343,0.676,2768,0.944,45.779204,4.829277,49 Rue de Cuire 69004 Lyon,0.84,housenumber,69384_2025_00049,49,Rue de Cuire,,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement
33,ARA0135,69021,69021,APE,BELLEVILLE,RHONE,AUVERGNE-RHONE-ALPES,16 RUE DU BOIS BARON,69823,BELLEVILLE ,1620,130,240,332,0.75,2619,0.957,46.105942,4.731992,16 Rue du Bois Baron 69220 Belleville-en-Beaujolais,0.59,housenumber,69019_0150_00016,16,Rue du Bois Baron,,69220,Belleville-en-Beaujolais,"69, Rhône, Auvergne-Rhône-Alpes",69019,69019,Belleville,
34,ARA0136,69014,69014,APE,VILLEURBANNE,RHONE,AUVERGNE-RHONE-ALPES,"41, RUE COLIN",69625,VILLEURBANNE,9417,134,249,315,0.668,12990,0.951,45.77326,4.874245,41 Rue Colin 69100 Villeurbanne,0.74,housenumber,69266_1010_00041,41,Rue Colin,,69100,Villeurbanne,"69, Rhône, Auvergne-Rhône-Alpes",69266,,,
35,ARA0138,69003,69003,APE,SAINT FONS,RHONE,AUVERGNE-RHONE-ALPES,"61, rue Mathieu Dussurgey CS80036",69191,ST FONS Cedex,2855,81,242,632,0.659,3816,0.949,45.712342,4.861911,61 Rue Mathieu Dussurgey 69190 Saint-Fons,0.57,housenumber,69199_0590_00061,61,Rue Mathieu Dussurgey,,69190,Saint-Fons,"69, Rhône, Auvergne-Rhône-Alpes",69199,,,
36,ARA0142,69184,69184,APE,TASSIN LA DEMI LUNE,RHONE,AUVERGNE-RHONE-ALPES,3 AVENUE DU GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,5290,102,192,253,0.779,8195,0.958,45.757801,4.776627,3 Avenue Général Brosset 69160 Tassin-la-Demi-Lune,0.85,housenumber,69244_0340_00003,3,Avenue Général Brosset,,69160,Tassin-la-Demi-Lune,"69, Rhône, Auvergne-Rhône-Alpes",69244,,,
37,ARA0143,69225,69225,APE,LYON CONFLUENCE,RHONE,AUVERGNE-RHONE-ALPES,59 RUE DENUZIERE,69002,LYON,3089,98,279,247,0.731,4765,0.949,45.742809,4.818124,59 Rue Denuzière 69002 Lyon,0.84,housenumber,69382_2140_00059,59,Rue Denuzière,,69002,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69382,,,Lyon 2e Arrondissement
38,ARA0144,69233,69233,APE,LYON VAISE,RHONE,AUVERGNE-RHONE-ALPES,29 AV JOANNES MASSET,69337,LYON  ,5625,107,226,531,0.642,7411,0.941,45.768773,4.80112,29 Avenue Joannès Masset 69009 Lyon,0.62,housenumber,69389_3885_00029,29,Avenue Joannès Masset,,69009,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69389,,,Lyon 9e Arrondissement
39,ARA0145,69241,69241,APE,LYON PART-DIEU,RHONE,AUVERGNE-RHONE-ALPES,26 RUE DU GENERAL MOUTON-DUVERNET,69003,LYON  ,6878,99,272,390,0.69,10170,0.939,45.754268,4.861394,26 Rue Général Mouton-Duvernet 69003 Lyon,0.83,housenumber,69383_3145_00026,26,Rue Général Mouton-Duvernet,,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement
40,ARA0147,69256,69256,APE,LYON BOLLIER,RHONE,AUVERGNE-RHONE-ALPES,63 RUE A BOLLIER,69007,LYON,4626,91,309,453,0.72,6603,0.949,45.734577,4.831798,63 Rue André Bollier 69007 Lyon,0.7,housenumber,69387_0260_00063,63,Rue André Bollier,,69007,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69387,,,Lyon 7e Arrondissement
