,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de notification des droits dans les 21 jours,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
43,ARA0152,69065,69065,APE,VILLEFRANCHE SUR SAONE,RHONE,AUVERGNE-RHONE-ALPES,588 BOULEVARD ALBERT CAMUS,69665,VILLEFRANCHE S SAONE ,5247,79.18181818181819,202.85714285714286,366.6666666666667,0.8227539127120251,6907,0.8811349693251533,45.979845,4.728453,588 Boulevard Albert Camus 69400 Villefranche-sur-Saône,0.77,housenumber,69264_0021_00588,588,Boulevard Albert Camus,,69400,Villefranche-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69264,,,
44,ARA0154,69073,69073,APE,TARARE,RHONE,AUVERGNE-RHONE-ALPES,21 BOULEVARD VOLTAIRE,69170,TARARE ,3774,68.33333333333333,142.92307692307693,358.3333333333333,0.7451933773362106,5057,0.8893116157412911,45.893613,4.436871,21 Boulevard Voltaire 69170 Tarare,0.86,housenumber,69243_1520_00021,21,Boulevard Voltaire,,69170,Tarare,"69, Rhône, Auvergne-Rhône-Alpes",69243,,,
45,ARA0157,69096,69096,APE,GIVORS,RHONE,AUVERGNE-RHONE-ALPES,18 RUE JACQUES PREVERT,69701,GIVORS ,3330,85.4,152.0,398.0,0.8163848073960162,3709,0.8913728862138148,46.169633,-1.194091,18 Rue Jacques Prevert 17000 La Rochelle,0.65,housenumber,17300_6682_00018,18,Rue Jacques Prevert,,17000,La Rochelle,"17, Charente-Maritime, Nouvelle-Aquitaine",17300,,,
46,ARA0158,69106,69106,APE,RILLIEUX LA PAPE,RHONE,AUVERGNE-RHONE-ALPES,109 RUE DES MERCIERES,69140,RILLIEUX LA PAPE,2353,94.75,125.25,441.0,0.836527176202348,2905,0.9143557819279381,45.815132,4.883871,109 Rue des Mercières 69140 Rillieux-la-Pape,0.89,housenumber,69286_0515_00109,109,Rue des Mercières,,69140,Rillieux-la-Pape,"69, Rhône, Auvergne-Rhône-Alpes",69286,,,
47,ARA0159,69109,69109,APE,CALUIRE ET CUIRE,RHONE,AUVERGNE-RHONE-ALPES,9 CHEMIN DES PETITES BROSSES,69643,CALUIRE ET CUIRE ,2085,81.0,163.5,530.0,0.8449980680354608,2527,0.9095477386934674,45.796525,4.854651,9 Chemin des Petites Brosses 69300 Caluire-et-Cuire,0.83,housenumber,69034_1590_00009,9,Chemin des Petites Brosses,,69300,Caluire-et-Cuire,"69, Rhône, Auvergne-Rhône-Alpes",69034,,,
48,ARA0160,69114,69114,APE,SAINT PRIEST,RHONE,AUVERGNE-RHONE-ALPES,"100, AVENUE ARISTIDE BRIAND",69800,ST PRIEST ,4783,95.18181818181819,208.1,509.0,0.8223801005687108,5978,0.893645106543466,45.696822,4.92582,100 Rue Aristide Briand 69800 Saint-Priest,0.67,housenumber,69290_0090_00100,100,Rue Aristide Briand,,69800,Saint-Priest,"69, Rhône, Auvergne-Rhône-Alpes",69290,,,
49,ARA0161,69122,69122,APE,VAULX EN VELIN,RHONE,AUVERGNE-RHONE-ALPES,1 BIS AV SALVADOR ALLENDE,69515,VAULX EN VELIN ,4353,74.45454545454545,174.33333333333334,477.5,0.7468819084543632,4444,0.860501009141636,45.781122,4.918988,1bis Avenue Salvador Allende 69120 Vaulx-en-Velin,0.67,housenumber,69256_0942_00001_bis,1bis,Avenue Salvador Allende,,69120,Vaulx-en-Velin,"69, Rhône, Auvergne-Rhône-Alpes",69256,,,
50,ARA0162,69130,69130,APE,VENISSIEUX,RHONE,AUVERGNE-RHONE-ALPES,27 AVENUE DE LA REPUBLIQUE,69200,VENISSIEUX,6113,76.61538461538461,184.21428571428572,661.0,0.7223369567655258,5989,0.9050337311883757,45.707585,4.867855,27 Avenue de la République 69200 Vénissieux,0.89,housenumber,69259_1480_00027,27,Avenue de la République,,69200,Vénissieux,"69, Rhône, Auvergne-Rhône-Alpes",69259,,,
51,ARA0163,69153,69153,APE,OULLINS,RHONE,AUVERGNE-RHONE-ALPES,18 GRANDE RUE,69923,OULLINS,6964,62.214285714285715,170.5625,336.7142857142857,0.7483529078879282,8165,0.8850501172957986,45.71364,4.805406,Grande Rue 69600 Oullins,0.6,street,69149_0510,,Grande Rue,,69600,Oullins,"69, Rhône, Auvergne-Rhône-Alpes",69149,,,
52,ARA0164,69176,69176,APE,MEYZIEU,RHONE,AUVERGNE-RHONE-ALPES,20 RUE DE LA REPUBLIQUE,69330,MEYZIEU,4168,103.28571428571429,196.0,364.0,0.7642509698886111,4963,0.8829424072238741,45.766711,4.996934,20 Rue de la République 69330 Meyzieu,0.88,housenumber,69282_1110_00020,20,Rue de la République,,69330,Meyzieu,"69, Rhône, Auvergne-Rhône-Alpes",69282,,,
