,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
234,RHA0094,69153,69153,APE,OULLINS,RHONE,AUVERGNE-RHONE ALPES,11 RUE BAUDIN,69600,OULLINS,5936,70.83333333333333,164.6,363.0,0.5881075604745404,7511,0.9168533034714446,45.716615,4.818316,11 Rue Pierre Baudin 69600 Oullins,0.67,housenumber,69149_0100_00011,11,Rue Pierre Baudin,,69600,Oullins,"69, Rhône, Auvergne-Rhône-Alpes",69149,,,
235,RHA0089,69106,69106,APE,RILLIEUX LA PAPE,RHONE,AUVERGNE-RHONE ALPES,65 RUE PESAGE,69140,RILLIEUX LA PAPE,2207,58.5,123.14285714285714,86.4,0.7326501506446929,2639,0.9547813194959229,45.817486,4.889134,65 Rue du Pesage 69140 Rillieux-la-Pape,0.8,housenumber,69286_0599_00065,65,Rue du Pesage,,69140,Rillieux-la-Pape,"69, Rhône, Auvergne-Rhône-Alpes",69286,,,
236,RHA0069,69003,69003,APE,SAINT FONS,RHONE,AUVERGNE-RHONE ALPES,28 RUE GAMBETTA,69190,ST FONS,2832,77.5,167.0,535.5,ND,3150,0.9234844025897587,45.70791,4.853281,28 Rue Gambetta 69190 Saint-Fons,0.72,housenumber,69199_0370_00028,28,Rue Gambetta,,69190,Saint-Fons,"69, Rhône, Auvergne-Rhône-Alpes",69199,,,
237,RHA0091,69114,69114,APE,SAINT PRIEST,RHONE,AUVERGNE-RHONE ALPES,17 TER BD FRANCOIS REYMOND,69803,ST PRIEST ,4576,72.71428571428571,146.8181818181818,207.0,0.5481976844329105,5288,0.9486623282718727,45.698006,4.942334,Boulevard François Reymond 69800 Saint-Priest,0.53,street,69290_0590,,Boulevard François Reymond,,69800,Saint-Priest,"69, Rhône, Auvergne-Rhône-Alpes",69290,,,
238,RHA0085,69073,69073,APE,TARARE,RHONE,AUVERGNE-RHONE ALPES,9 RUE ROSSET,69171,TARARE ,3479,63.875,115.08333333333333,277.2,0.6671048072671972,4620,0.9259415996614473,45.894399,4.435528,9 Rue Rosset 69170 Tarare,0.75,housenumber,69243_1270_00009,9,Rue Rosset,,69170,Tarare,"69, Rhône, Auvergne-Rhône-Alpes",69243,,,
239,RHA0073,69184,69184,APE,TASSIN LA DEMI LUNE,RHONE,AUVERGNE-RHONE ALPES,3 AVENUE DU GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,5516,73.63636363636364,182.36363636363637,232.33333333333334,0.6398248039868386,7110,0.9533678756476683,45.757801,4.776627,3 Avenue Général Brosset 69160 Tassin-la-Demi-Lune,0.85,housenumber,69244_0340_00003,3,Avenue Général Brosset,,69160,Tassin-la-Demi-Lune,"69, Rhône, Auvergne-Rhône-Alpes",69244,,,
240,RHA0092,69122,69122,APE,VAULX EN VELIN,RHONE,AUVERGNE-RHONE ALPES,1 BIS AV SALVADOR ALLENDE,69515,VAULX EN VELIN ,4291,50.0,146.6,345.0,0.5310070777093402,3985,0.9220085470085471,45.781122,4.918988,1bis Avenue Salvador Allende 69120 Vaulx-en-Velin,0.67,housenumber,69256_0942_00001_bis,1bis,Avenue Salvador Allende,,69120,Vaulx-en-Velin,"69, Rhône, Auvergne-Rhône-Alpes",69256,,,
241,RHA0093,69130,69130,APE,VENISSIEUX,RHONE,AUVERGNE-RHONE ALPES,27 AVENUE DE LA REPUBLIQUE,69200,VENISSIEUX,5646,94.45454545454545,39.75,476.85714285714283,0.57308700282953,5142,0.8823297914207006,45.707585,4.867855,27 Avenue de la République 69200 Vénissieux,0.89,housenumber,69259_1480_00027,27,Avenue de la République,,69200,Vénissieux,"69, Rhône, Auvergne-Rhône-Alpes",69259,,,
242,RHA0083,69065,69065,APE,VILLEFRANCHE SUR SAONE,RHONE,AUVERGNE-RHONE ALPES,588 BOULEVARD ALBERT CAMUS,69665,VILLEFRANCHE S SAONE ,4944,73.3,78.0,399.6666666666667,0.6937641736465331,6138,0.9032576505429417,45.979845,4.728453,588 Boulevard Albert Camus 69400 Villefranche-sur-Saône,0.77,housenumber,69264_0021_00588,588,Boulevard Albert Camus,,69400,Villefranche-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69264,,,
243,RHA0067,69014,69014,APE,VILLEURBANNE PASCAL,RHONE,AUVERGNE-RHONE ALPES,1 RUE PASCAL,69100,VILLEURBANNE,4767,108.83333333333333,171.75,401.6666666666667,0.5400611608793665,5180,0.9342211460855528,45.761133,4.875239,Rue Pascal 69100 Villeurbanne,0.8,street,69266_3020,,Rue Pascal,,69100,Villeurbanne,"69, Rhône, Auvergne-Rhône-Alpes",69266,,,
244,RHA0080,69295,69295,APE,VILLEURBANNE PERRALLIERE,RHONE,AUVERGNE-RHONE ALPES,160 RUE DU 4 AOUT 1789,69100,VILLEURBANNE,5339,83.0,133.52941176470588,463.5,0.5259917836763326,5741,0.9261992619926199,45.763694,4.891828,160 Rue du 4 Août 1789 69100 Villeurbanne,0.89,housenumber,69266_pxp9k7_00160,160,Rue du 4 Août 1789,,69100,Villeurbanne,"69, Rhône, Auvergne-Rhône-Alpes",69266,,,
