,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
235,ARA0163,69153,69153,APE,OULLINS,RHONE,AUVERGNE-RHONE ALPES,11 RUE BAUDIN,69600,OULLINS,5973,76.0909090909091,186.28571428571428,301.0,0.6440446660665431,7751,0.9389671361502347,45.716615,4.818316,11 Rue Pierre Baudin 69600 Oullins,0.67,housenumber,69149_0100_00011,11,Rue Pierre Baudin,,69600,Oullins,"69, Rhône, Auvergne-Rhône-Alpes",69149,,,
236,ARA0158,69106,69106,APE,RILLIEUX LA PAPE,RHONE,AUVERGNE-RHONE ALPES,109 RUE DES MERCIERES,69140,RILLIEUX LA PAPE,2112,72.2,137.66666666666666,186.0,ND,2717,0.9396078431372549,45.815132,4.883871,109 Rue des Mercières 69140 Rillieux-la-Pape,0.89,housenumber,69286_0515_00109,109,Rue des Mercières,,69140,Rillieux-la-Pape,"69, Rhône, Auvergne-Rhône-Alpes",69286,,,
237,ARA0138,69003,69003,APE,SAINT FONS,RHONE,AUVERGNE-RHONE ALPES,28 RUE GAMBETTA,69190,ST FONS,2814,70.0,174.57142857142858,258.0,0.7340272352249442,3269,0.9308814204185162,45.70791,4.853281,28 Rue Gambetta 69190 Saint-Fons,0.72,housenumber,69199_0370_00028,28,Rue Gambetta,,69190,Saint-Fons,"69, Rhône, Auvergne-Rhône-Alpes",69199,,,
238,ARA0160,69114,69114,APE,SAINT PRIEST,RHONE,AUVERGNE-RHONE ALPES,"100, AVENUE ARISTIDE BRIAND",69800,ST PRIEST ,4437,72.9,138.21428571428572,206.0,0.65102577604203,5596,0.9305954825462013,45.696822,4.92582,100 Rue Aristide Briand 69800 Saint-Priest,0.67,housenumber,69290_0090_00100,100,Rue Aristide Briand,,69800,Saint-Priest,"69, Rhône, Auvergne-Rhône-Alpes",69290,,,
239,ARA0154,69073,69073,APE,TARARE,RHONE,AUVERGNE-RHONE ALPES,9 RUE ROSSET,69171,TARARE ,3411,65.875,100.92307692307692,410.6666666666667,0.7186256664745992,4668,0.9417943107221006,45.894399,4.435528,9 Rue Rosset 69170 Tarare,0.75,housenumber,69243_1270_00009,9,Rue Rosset,,69170,Tarare,"69, Rhône, Auvergne-Rhône-Alpes",69243,,,
240,ARA0142,69184,69184,APE,TASSIN LA DEMI LUNE,RHONE,AUVERGNE-RHONE ALPES,3 AVENUE DU GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,5679,76.27272727272727,123.23076923076923,285.3636363636364,0.7252381489628061,7576,0.9248231132075472,45.757801,4.776627,3 Avenue Général Brosset 69160 Tassin-la-Demi-Lune,0.85,housenumber,69244_0340_00003,3,Avenue Général Brosset,,69160,Tassin-la-Demi-Lune,"69, Rhône, Auvergne-Rhône-Alpes",69244,,,
241,ARA0161,69122,69122,APE,VAULX EN VELIN,RHONE,AUVERGNE-RHONE ALPES,1 BIS AV SALVADOR ALLENDE,69515,VAULX EN VELIN ,4359,59.45454545454545,160.77777777777777,308.6666666666667,ND,4284,0.9240719910011248,45.781122,4.918988,1bis Avenue Salvador Allende 69120 Vaulx-en-Velin,0.67,housenumber,69256_0942_00001_bis,1bis,Avenue Salvador Allende,,69120,Vaulx-en-Velin,"69, Rhône, Auvergne-Rhône-Alpes",69256,,,
242,ARA0162,69130,69130,APE,VENISSIEUX,RHONE,AUVERGNE-RHONE ALPES,27 AVENUE DE LA REPUBLIQUE,69200,VENISSIEUX,5569,89.0,76.42857142857143,267.5,0.618109275977925,5765,0.8666361136571953,45.707585,4.867855,27 Avenue de la République 69200 Vénissieux,0.89,housenumber,69259_1480_00027,27,Avenue de la République,,69200,Vénissieux,"69, Rhône, Auvergne-Rhône-Alpes",69259,,,
243,ARA0152,69065,69065,APE,VILLEFRANCHE SUR SAONE,RHONE,AUVERGNE-RHONE ALPES,588 BOULEVARD ALBERT CAMUS,69665,VILLEFRANCHE S SAONE ,4827,65.36363636363636,98.76470588235294,305.4,0.6742590058770138,6506,0.9405050155655482,45.979845,4.728453,588 Boulevard Albert Camus 69400 Villefranche-sur-Saône,0.77,housenumber,69264_0021_00588,588,Boulevard Albert Camus,,69400,Villefranche-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69264,,,
244,ARA0136,69014,69014,APE,VILLEURBANNE,RHONE,AUVERGNE-RHONE ALPES,"41, RUE COLIN",69625,VILLEURBANNE,10010,104.85714285714286,203.47368421052633,253.46666666666667,0.61,11455,0.9322873658133773,45.77326,4.874245,41 Rue Colin 69100 Villeurbanne,0.74,housenumber,69266_1010_00041,41,Rue Colin,,69100,Villeurbanne,"69, Rhône, Auvergne-Rhône-Alpes",69266,,,
