,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
45,ARA0152,69065,69065,APE,VILLEFRANCHE SUR SAONE,RHONE,AUVERGNE-RHONE-ALPES,588 BOULEVARD ALBERT CAMUS,69665,VILLEFRANCHE S SAONE ,4948,72.08333333333333,147.23529411764707,333.75,0.755179824710002,7012,0.918040435458787,45.979845,4.728453,588 Boulevard Albert Camus 69400 Villefranche-sur-Saône,0.64,housenumber,69264_0021_00588,588,Boulevard Albert Camus,,69400,Villefranche-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69264,,,
46,ARA0154,69073,69073,APE,TARARE,RHONE,AUVERGNE-RHONE-ALPES,9 RUE ROSSET,69171,TARARE ,3438,72.28571428571429,129.0909090909091,271.6,0.715797752583842,5094,0.940345368916798,45.894399,4.435528,9 Rue Rosset 69170 Tarare,0.65,housenumber,69243_1270_00009,9,Rue Rosset,,69170,Tarare,"69, Rhône, Auvergne-Rhône-Alpes",69243,,,
47,ARA0157,69096,69096,APE,GIVORS,RHONE,AUVERGNE-RHONE-ALPES,18 RUE JACQUES PREVERT,69701,GIVORS ,3147,95.57142857142857,142.5,283.0,0.723134285231924,3866,0.916929246634202,46.169633,-1.194091,18 Rue Jacques Prevert 17000 La Rochelle,0.56,housenumber,17300_6682_00018,18,Rue Jacques Prevert,,17000,La Rochelle,"17, Charente-Maritime, Nouvelle-Aquitaine",17300,,,
48,ARA0158,69106,69106,APE,RILLIEUX LA PAPE,RHONE,AUVERGNE-RHONE-ALPES,109 RUE DES MERCIERES,69140,RILLIEUX LA PAPE,2282,70.5,181.5,282.0,0.683617177992667,2976,0.953472222222222,45.815132,4.883871,109 Rue des Mercières 69140 Rillieux-la-Pape,0.69,housenumber,69286_0515_00109,109,Rue des Mercières,,69140,Rillieux-la-Pape,"69, Rhône, Auvergne-Rhône-Alpes",69286,,,
49,ARA0159,69109,69109,APE,CALUIRE ET CUIRE,RHONE,AUVERGNE-RHONE-ALPES,9 CHEMIN DES PETITES BROSSES,69643,CALUIRE ET CUIRE ,1912,87.5,176.6,546.0,0.800248809876018,2525,0.903114186851211,45.796525,4.854651,9 Chemin des Petites Brosses 69300 Caluire-et-Cuire,0.66,housenumber,69034_1590_00009,9,Chemin des Petites Brosses,,69300,Caluire-et-Cuire,"69, Rhône, Auvergne-Rhône-Alpes",69034,,,
50,ARA0160,69114,69114,APE,SAINT PRIEST,RHONE,AUVERGNE-RHONE-ALPES,"100, AVENUE ARISTIDE BRIAND",69800,ST PRIEST ,4420,90.0909090909091,117.16666666666667,241.0,0.670855826896589,5921,0.932939541348159,45.696822,4.92582,100 Rue Aristide Briand 69800 Saint-Priest,0.67,housenumber,69290_0090_00100,100,Rue Aristide Briand,,69800,Saint-Priest,"69, Rhône, Auvergne-Rhône-Alpes",69290,,,
51,ARA0161,69122,69122,APE,VAULX EN VELIN,RHONE,AUVERGNE-RHONE-ALPES,1 BIS AV SALVADOR ALLENDE,69515,VAULX EN VELIN ,4353,61.857142857142854,174.2,89.18181818181819,0.693744545085997,4628,0.927003573251659,45.781122,4.918988,1bis Avenue Salvador Allende 69120 Vaulx-en-Velin,0.6,housenumber,69256_0942_00001_bis,1bis,Avenue Salvador Allende,,69120,Vaulx-en-Velin,"69, Rhône, Auvergne-Rhône-Alpes",69256,,,
52,ARA0162,69130,69130,APE,VENISSIEUX,RHONE,AUVERGNE-RHONE-ALPES,27 AVENUE DE LA REPUBLIQUE,69200,VENISSIEUX,5675,84.71428571428571,101.07142857142857,246.0,0.643604606693424,6238,0.916499799759712,45.707585,4.867855,27 Avenue de la République 69200 Vénissieux,0.75,housenumber,69259_1480_00027,27,Avenue de la République,,69200,Vénissieux,"69, Rhône, Auvergne-Rhône-Alpes",69259,,,
53,ARA0163,69153,69153,APE,OULLINS,RHONE,AUVERGNE-RHONE-ALPES,18 GRANDE RUE,69923,OULLINS,6311,72.45454545454545,165.05555555555554,403.6666666666667,0.726044137648428,8351,0.912368349986497,45.71364,4.805406,Grande Rue 69600 Oullins,0.52,street,69149_0510,,Grande Rue,,69600,Oullins,"69, Rhône, Auvergne-Rhône-Alpes",69149,,,
54,ARA0164,69176,69176,APE,MEYZIEU,RHONE,AUVERGNE-RHONE-ALPES,20 RUE DE LA REPUBLIQUE,69330,MEYZIEU,3675,96.0,168.83333333333334,312.0,0.768074814186932,4990,0.933872305140962,45.766711,4.996934,20 Rue de la République 69330 Meyzieu,0.77,housenumber,69282_1110_00020,20,Rue de la République,,69330,Meyzieu,"69, Rhône, Auvergne-Rhône-Alpes",69282,,,
