,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
45,ARA0152,69065,69065,APE,VILLEFRANCHE SUR SAONE,RHONE,AUVERGNE-RHONE-ALPES,588 BOULEVARD ALBERT CAMUS,69665,VILLEFRANCHE S SAONE ,4801,74.9,154.28571428571428,166.42857142857142,0.7377598774035581,6885,0.9227410144440712,45.979845,4.728453,588 Boulevard Albert Camus 69400 Villefranche-sur-Saône,0.77,housenumber,69264_0021_00588,588,Boulevard Albert Camus,,69400,Villefranche-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69264,,,
46,ARA0154,69073,69073,APE,TARARE,RHONE,AUVERGNE-RHONE-ALPES,9 RUE ROSSET,69171,TARARE ,3355,93.57142857142857,124.9090909090909,297.25,0.7050125577313787,5087,0.9429312581063554,45.894399,4.435528,9 Rue Rosset 69170 Tarare,0.75,housenumber,69243_1270_00009,9,Rue Rosset,,69170,Tarare,"69, Rhône, Auvergne-Rhône-Alpes",69243,,,
47,ARA0157,69096,69096,APE,GIVORS,RHONE,AUVERGNE-RHONE-ALPES,18 RUE JACQUES PREVERT,69701,GIVORS ,2946,77.28571428571429,127.45454545454545,259.5,0.7821625300085153,3813,0.9292866082603254,46.169633,-1.194091,18 Rue Jacques Prevert 17000 La Rochelle,0.65,housenumber,17300_6682_00018,18,Rue Jacques Prevert,,17000,La Rochelle,"17, Charente-Maritime, Nouvelle-Aquitaine",17300,,,
48,ARA0158,69106,69106,APE,RILLIEUX LA PAPE,RHONE,AUVERGNE-RHONE-ALPES,109 RUE DES MERCIERES,69140,RILLIEUX LA PAPE,2179,85.33333333333333,180.33333333333334,212,0.7285011930782076,2997,0.9551800146950772,45.815132,4.883871,109 Rue des Mercières 69140 Rillieux-la-Pape,0.89,housenumber,69286_0515_00109,109,Rue des Mercières,,69140,Rillieux-la-Pape,"69, Rhône, Auvergne-Rhône-Alpes",69286,,,
49,ARA0159,69109,69109,APE,CALUIRE ET CUIRE,RHONE,AUVERGNE-RHONE-ALPES,9 CHEMIN DES PETITES BROSSES,69643,CALUIRE ET CUIRE ,1886,88.25,203.0,524,0.7207910564846495,2493,0.9050880626223092,45.796525,4.854651,9 Chemin des Petites Brosses 69300 Caluire-et-Cuire,0.83,housenumber,69034_1590_00009,9,Chemin des Petites Brosses,,69300,Caluire-et-Cuire,"69, Rhône, Auvergne-Rhône-Alpes",69034,,,
50,ARA0160,69114,69114,APE,SAINT PRIEST,RHONE,AUVERGNE-RHONE-ALPES,"100, AVENUE ARISTIDE BRIAND",69800,ST PRIEST ,4336,80.18181818181819,137.85714285714286,208.83333333333334,0.6630024327261937,5946,0.9353481254781943,45.696822,4.92582,100 Rue Aristide Briand 69800 Saint-Priest,0.67,housenumber,69290_0090_00100,100,Rue Aristide Briand,,69800,Saint-Priest,"69, Rhône, Auvergne-Rhône-Alpes",69290,,,
51,ARA0161,69122,69122,APE,VAULX EN VELIN,RHONE,AUVERGNE-RHONE-ALPES,1 BIS AV SALVADOR ALLENDE,69515,VAULX EN VELIN ,4409,59.833333333333336,150.41666666666666,88.2,0.7026826315668779,4664,0.9186170212765957,45.781122,4.918988,1bis Avenue Salvador Allende 69120 Vaulx-en-Velin,0.67,housenumber,69256_0942_00001_bis,1bis,Avenue Salvador Allende,,69120,Vaulx-en-Velin,"69, Rhône, Auvergne-Rhône-Alpes",69256,,,
52,ARA0162,69130,69130,APE,VENISSIEUX,RHONE,AUVERGNE-RHONE-ALPES,27 AVENUE DE LA REPUBLIQUE,69200,VENISSIEUX,5479,91.3076923076923,91.27272727272727,255.88888888888889,0.6053753703376357,6106,0.932741116751269,45.707585,4.867855,27 Avenue de la République 69200 Vénissieux,0.89,housenumber,69259_1480_00027,27,Avenue de la République,,69200,Vénissieux,"69, Rhône, Auvergne-Rhône-Alpes",69259,,,
53,ARA0163,69153,69153,APE,OULLINS,RHONE,AUVERGNE-RHONE-ALPES,18 GRANDE RUE,69923,OULLINS,6141,72.91666666666667,174.1875,341.5,0.7447491890535984,8197,0.9219453617532273,45.71364,4.805406,Grande Rue 69600 Oullins,0.6,street,69149_0510,,Grande Rue,,69600,Oullins,"69, Rhône, Auvergne-Rhône-Alpes",69149,,,
54,ARA0164,69176,69176,APE,MEYZIEU,RHONE,AUVERGNE-RHONE-ALPES,20 RUE DE LA REPUBLIQUE,69330,MEYZIEU,3629,76.0,129.13333333333333,294.6666666666667,0.8102637004036172,5000,0.9401330376940134,45.766711,4.996934,20 Rue de la République 69330 Meyzieu,0.88,housenumber,69282_1110_00020,20,Rue de la République,,69330,Meyzieu,"69, Rhône, Auvergne-Rhône-Alpes",69282,,,
