,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,Taux de satisfaction des demandeurs d'emploi - Base APE,Taux de satisfaction des demandeurs d'emploi - Score APE,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
81,RHA0094,69153,69153,APE,OULLINS,RHONE,AUVERGNE-RHONE ALPES,11 RUE BAUDIN,69600,OULLINS,6213,74.58333333333333,188.5,379.5,7668,0.9005673758865248,292,0.551279272518762,45.716615,4.818316,11 Rue Pierre Baudin 69600 Oullins,0.67,housenumber,69149_0100_00011,11,Rue Pierre Baudin,,69600,Oullins,"69, Rhône, Auvergne-Rhône-Alpes",69149,,,
82,RHA0089,69106,69106,APE,RILLIEUX LA PAPE,RHONE,AUVERGNE-RHONE ALPES,109 RUE DES MERCIERES,69140,RILLIEUX LA PAPE,2232,68.4,139.33333333333334,247.0,2649,0.9399158055874474,87,0.7450675464156569,45.815132,4.883871,109 Rue des Mercières 69140 Rillieux-la-Pape,0.89,housenumber,69286_0515_00109,109,Rue des Mercières,,69140,Rillieux-la-Pape,"69, Rhône, Auvergne-Rhône-Alpes",69286,,,
83,RHA0069,69003,69003,APE,SAINT FONS,RHONE,AUVERGNE-RHONE ALPES,28 RUE GAMBETTA,69190,ST FONS,2931,66.75,249.4,323.0,3203,0.9234941478732515,91,0.5678144718840277,45.70791,4.853281,28 Rue Gambetta 69190 Saint-Fons,0.72,housenumber,69199_0370_00028,28,Rue Gambetta,,69190,Saint-Fons,"69, Rhône, Auvergne-Rhône-Alpes",69199,,,
84,RHA0091,69114,69114,APE,SAINT PRIEST,RHONE,AUVERGNE-RHONE ALPES,17 TER BD FRANCOIS REYMOND,69803,ST PRIEST ,4596,77.7,141.71428571428572,213.5,5470,0.9409025787965616,178,0.5612271559394618,45.698006,4.942334,Boulevard François Reymond 69800 Saint-Priest,0.53,street,69290_0590,,Boulevard François Reymond,,69800,Saint-Priest,"69, Rhône, Auvergne-Rhône-Alpes",69290,,,
85,RHA0085,69073,69073,APE,TARARE,RHONE,AUVERGNE-RHONE ALPES,9 RUE ROSSET,69171,TARARE ,3586,60.888888888888886,122.58333333333333,236.5,4563,0.9212280347404564,214,0.6735202463601381,45.894399,4.435528,9 Rue Rosset 69170 Tarare,0.75,housenumber,69243_1270_00009,9,Rue Rosset,,69170,Tarare,"69, Rhône, Auvergne-Rhône-Alpes",69243,,,
86,RHA0073,69184,69184,APE,TASSIN LA DEMI LUNE,RHONE,AUVERGNE-RHONE ALPES,3 AVENUE DU GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,5918,69.27272727272727,140.33333333333334,271.54545454545456,7316,0.93749135665883,405,0.6346865178263987,45.757801,4.776627,3 Avenue Général Brosset 69160 Tassin-la-Demi-Lune,0.85,housenumber,69244_0340_00003,3,Avenue Général Brosset,,69160,Tassin-la-Demi-Lune,"69, Rhône, Auvergne-Rhône-Alpes",69244,,,
87,RHA0092,69122,69122,APE,VAULX EN VELIN,RHONE,AUVERGNE-RHONE ALPES,1 BIS AV SALVADOR ALLENDE,69515,VAULX EN VELIN ,4392,46.4,144.7,317.0,4173,0.9196525515743756,86,0.6082871934411941,45.781122,4.918988,1bis Avenue Salvador Allende 69120 Vaulx-en-Velin,0.67,housenumber,69256_0942_00001_bis,1bis,Avenue Salvador Allende,,69120,Vaulx-en-Velin,"69, Rhône, Auvergne-Rhône-Alpes",69256,,,
88,RHA0093,69130,69130,APE,VENISSIEUX,RHONE,AUVERGNE-RHONE ALPES,27 AVENUE DE LA REPUBLIQUE,69200,VENISSIEUX,5628,111.45454545454545,61.42857142857143,341.625,5487,0.8951596292481977,108,0.5584545263366609,45.707585,4.867855,27 Avenue de la République 69200 Vénissieux,0.89,housenumber,69259_1480_00027,27,Avenue de la République,,69200,Vénissieux,"69, Rhône, Auvergne-Rhône-Alpes",69259,,,
89,RHA0083,69065,69065,APE,VILLEFRANCHE SUR SAONE,RHONE,AUVERGNE-RHONE ALPES,588 BOULEVARD ALBERT CAMUS,69665,VILLEFRANCHE S SAONE ,5179,71.0909090909091,98.4375,396.3333333333333,6391,0.9212280973794387,228,0.6428039731609126,45.979845,4.728453,588 Boulevard Albert Camus 69400 Villefranche-sur-Saône,0.77,housenumber,69264_0021_00588,588,Boulevard Albert Camus,,69400,Villefranche-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69264,,,
90,RHA0067,69014,69014,APE,VILLEURBANNE PASCAL,RHONE,AUVERGNE-RHONE ALPES,1 RUE PASCAL,69100,VILLEURBANNE,4907,113.14285714285714,193.85714285714286,356.0,5269,0.9301875846064591,147,0.6000642598384001,45.761133,4.875239,Rue Pascal 69100 Villeurbanne,0.8,street,69266_3020,,Rue Pascal,,69100,Villeurbanne,"69, Rhône, Auvergne-Rhône-Alpes",69266,,,
91,RHA0080,69295,69295,APE,VILLEURBANNE PERRALLIERE,RHONE,AUVERGNE-RHONE ALPES,160 RUE DU 4 AOUT 1789,69100,VILLEURBANNE,5327,84.0,164.57142857142858,371.8,5830,0.9172272047832586,177,0.5286040913726573,45.763694,4.891828,160 Rue du 4 Août 1789 69100 Villeurbanne,0.89,housenumber,69266_pxp9k7_00160,160,Rue du 4 Août 1789,,69100,Villeurbanne,"69, Rhône, Auvergne-Rhône-Alpes",69266,,,
